,Predicted USD,Actual USD,Squared Error
0,0.02516920769625404,0.026000399155261,6.908792415261179e-07
1,0.028985373438550985,0.0309370080436698,3.8088776318972666e-06
2,0.024998830710904623,0.0289856342491678,1.589460245270779e-05
3,0.02438165426436904,0.0256548807252341,1.6211056206469668e-06
4,0.025828070341807154,0.0259892423712181,2.5976423064443163e-08
5,0.02862540936535712,0.0301385677522532,2.2896483038339417e-06
6,0.028985753017183695,0.0307712397825958,3.1879629894617796e-06
7,0.028206025062974184,0.0256595315219319,6.484629354570072e-06
8,0.02847648265805411,0.0252515168965673,1.0400404162762184e-05
9,0.02475758274298332,0.0252395361116616,2.3227904958034124e-07
10,0.02571756426643063,0.0250537557153958,4.4064179242696146e-07
11,0.024998103684386926,0.0254837248494687,2.3582791597537884e-07
12,0.024826130646401892,0.0254876467969924,4.376036174920813e-07
13,0.026339754339613858,0.0254416978765007,8.065054109393126e-07
14,0.026324957723218304,0.0252224489573289,1.2155255788629733e-06
15,0.025857464078365925,0.0229094598854259,8.690728721591972e-06
16,0.025921702260251405,0.0230773789757,8.090174947041299e-06
17,0.02516651965039089,0.0258624449804398,4.843120650036868e-07
18,0.025486932172031473,0.0255579086587544,5.037661667529722e-09
19,0.028834203010430045,0.0295470147564878,5.081005853179047e-07
20,0.023483701732841547,0.0257155707036079,4.981239102669665e-06
21,0.02856557772733156,0.031223356339227,7.063787149848852e-06
22,0.029217706141909577,0.0317607528338203,6.467086477238073e-06
23,0.029335718682073395,0.0298386355973594,2.529254236807915e-07
24,0.024205660971164045,0.0256654445466811,2.1309680873493528e-06
25,0.024804114499909154,0.0255326283564057,5.30732439107467e-07
26,0.026339626431121574,0.0252724992539585,1.1387604122400296e-06
27,0.025261124987270782,0.0250440001195205,4.714320819557677e-08
28,0.024827497102694145,0.0254174108689128,3.4799825157427844e-07
29,0.02584745324893809,0.0246280119047422,1.4870371919342759e-06
30,0.02608475741163309,0.0224081562506938,1.351739609662012e-05
31,0.02877476444597334,0.029496533690083,5.209508417426302e-07
32,0.02856355360767462,0.0308851813133283,5.389955203658759e-06
33,0.028744138819740462,0.0299011352982494,1.3386408512820828e-06
34,0.028745222637235727,0.0280270763128686,5.157341432020137e-07
35,0.02591137994356074,0.0231152874345342,7.818133319034349e-06
36,0.030791562785380706,0.0306027793687296,3.5639178402465603e-08
37,0.02610687236487348,0.0251254750363258,9.631407164805172e-07
38,0.026198714332473262,0.0243311671486751,3.4877324837124435e-06
39,0.03101342400791323,0.0305880320127564,1.8095834954350774e-07
40,0.02951196848261426,0.0303060379868419,6.305463775443303e-07
41,0.025964406932158762,0.0222716753661186,1.3636266418829441e-05
42,0.023385399962898082,0.025636117883369,5.065731157528931e-06
43,0.026077832180501224,0.0254771579674791,3.6080951018974706e-07
44,0.028536264931137523,0.0314360258469124,8.408613368655556e-06
45,0.028909593392093022,0.0283350756438707,3.300706430224462e-07
46,0.02587304941467089,0.0243037392310939,2.46273445227845e-06
47,0.025174400995163656,0.0259932780701201,6.705596638892198e-07
48,0.02625501903371115,0.0251907110885417,1.1327514021508173e-06
49,0.025734192246111613,0.0255750320194952,2.5331977736587498e-08
50,0.025965352383114135,0.0249929316646429,9.456020537121139e-07
51,0.02886360122845408,0.0318454679439697,8.891529109099924e-06
52,0.028505259480470717,0.0308484090711685,5.490350004387182e-06
53,0.025237116523058788,0.0252318727672628,2.7496974847945376e-11
54,0.025963090121890485,0.0222375867987069,1.387937501105194e-05
55,0.024751077791146874,0.0250408065421568,8.39427491617725e-08
56,0.028280886629107556,0.0257271089741586,6.52178031091659e-06
57,0.02616058732002902,0.0247535229274921,1.9798302047452894e-06
58,0.02918199937270661,0.0291800496113657,3.80156928649965e-12
